"Wave","Domein","Perm-key (voorstel)","Label (NL)","data-admin-page (oude portal)","Voorgestelde route","Backing endpoint(s)","Status"
"6","Marketing","page.marketing-online","Online marketing (POAS, MER, analytics, zoektermen, winkel-ads, data-health)","marketing-online","/marketing/online","/api/admin/marketing-poas, /api/admin/marketing-mer, /api/admin/marketing-analytics, /api/admin/marketing-search-terms, /api/admin/marketing-winkelprestaties, /api/admin/running-ads, /api/admin/marketing-data-health, /api/admin/marketing-advisor, /api/admin/spotler-metrics","todo"
"6","Marketing","page.marketing-social","Social media (Instagram/Facebook/Pinterest stats + merk-fit + boost)","marketing-social","/marketing/social","/api/admin/social-stats, /api/admin/brand-fit, /api/admin/meta-boost","todo"
"6","Marketing","page.marketing-campagnes","Campagnes (register: kanaal/winkel/budget/periode/status)","marketing-campagnes","/marketing/campagnes","/api/admin/marketing","todo"
"6","Marketing","page.marketing-nieuwsbrief","Nieuwsbrief (Resend/Spotler + AI)","marketing-nieuwsbrief","/marketing/nieuwsbrief","/api/admin/newsletters, /api/admin/newsletter-ai, /api/admin/resend-audience, /api/admin/pushowl","todo"
"6","Content","page.marketing-content","Content (overzicht)","marketing-content","/marketing/content","/api/admin/content-checks","todo"
"6","Content","page.marketing-contenttips","Content-kalender / tips","marketing-contenttips","/marketing/content-tips","/api/admin/content-calendar","todo"
"6","Content","page.marketing-contentbeheer","Content-beheer (AI-productbeschrijvingen)","marketing-contentbeheer","/marketing/content-beheer","/api/admin/content-checks, /api/admin/content-generate-description, /api/admin/content-save-description","todo"
"6","Content","page.marketing-productcontrole","Productcontrole (product-audit)","marketing-productcontrole","/marketing/productcontrole","/api/admin/product-audit, /api/admin/content-checks","todo"
"6","Content","page.marketing-vaaksamen","Vaak samen gekocht (bundel-paren)","marketing-vaaksamen","/marketing/vaak-samen","/api/admin/mixmatch-analytics, /api/admin/bundle-pairs","todo"
"6","Content","page.marketing-assets","Merk-assets (brandbook)","marketing-assets","/marketing/assets","/api/admin/brandbook","todo"
"6","Content","page.marketing-beeldbank","Beeldbank","marketing-beeldbank","/marketing/beeldbank","/api/admin/beeldbank, /api/admin/beeldbank-classify, /api/admin/beeldbank-dedup","todo"
"6","Content","page.marketing-afbeeldingen","Afbeeldingen (beeld-selectie)","marketing-afbeeldingen","/marketing/afbeeldingen","/api/admin/beeldbank","todo"
"6","Content","page.marketing-seo","SEO-ranking (+ PageSpeed, Ads-zoektermen, merk-fit)","marketing-seo","/marketing/seo","/api/admin/seo-ranking, /api/admin/pagespeed, /api/admin/marketing-search-terms, /api/admin/brand-fit","todo"
"6","Content","page.marketing-aivind","AI-vindbaarheid","marketing-aivind","/marketing/ai-vindbaarheid","/api/admin/ai-visibility","todo"
"6","Voorraad & artikelen","page.marketing-fotograaf","Bij fotograaf (voorraad op filiaal 701)","marketing-fotograaf","/bij-fotograaf","/api/admin/foto-fotograaf","todo"
"1","Klanten","page.klantvragen","Klantvragen (inquiries + refund-uit-tegoed)","klantvragen","/klantvragen","/api/admin/customer-inquiries","todo"
"1","Dagelijks werk","page.winkel-retouren","Retouren in de winkel (winkel-view)","winkel-retouren","/winkel-retouren","/api/srs/return, /api/return-refund, /api/admin/customer-returns","todo"
"2","Orders & verkoop","page.uitwisselingen","Uitwisselingen (winkel <-> winkel)","uitwisselingen","/uitwisselingen","BEVESTIG: SRS-uitwisselingen-endpoint (zie srs/store-revenue + uitwissel-rapportage)","todo"
"1","Dagelijks werk","page.mijn-taken","Mijn taken (eigen takenlijst + badge)","mijn-taken","/mijn-taken","/api/me/taken","todo"
"4","Systeem","page.srs-dataexport","SRS data-export browser (SFTP-bestanden)","srs-dataexport","/srs-dataexport","/api/admin/srs-dataexport/list, /api/admin/srs-dataexport/file","todo"
